input_1,input_2,input_3,input_4,input_5,input_6,input_7
0.3259856,5.35E-05,0.7851723,0.6534874,-0.2705797,0.6531099,-0.2705328
0.3271713,0.005051963,0.7880875,0.6539679,-0.2660077,0.6546036,-0.2702964
0.3274475,0.00620297,0.7886328,0.6541456,-0.2649578,0.6547968,-0.2704299
0.3276958,0.007420108,0.7892133,0.6543166,-0.2638367,0.6550035,-0.2706114
0.3286837,0.0123757,0.7915461,0.6550067,-0.2592782,0.6558276,-0.2713506
0.3293355,0.0150492,0.7926779,0.6554688,-0.256877,0.6561713,-0.2716869
0.3297834,0.01723794,0.7935518,0.6558433,-0.2549086,0.6564292,-0.2720141
0.330356,0.0205423,0.7950152,0.6562834,-0.2518989,0.6569277,-0.2725525
0.3313655,0.02511826,0.7973333,0.6567553,-0.2477386,0.6577505,-0.2732439
0.3321596,0.02821715,0.7990198,0.6570199,-0.2449242,0.6583244,-0.2737622
0.3343647,0.03510401,0.8027488,0.657745,-0.2388023,0.6593667,-0.2749186
0.3345767,0.03568661,0.803066,0.6578112,-0.2382925,0.6594429,-0.2750201
0.3350377,0.03695845,0.803816,0.6579157,-0.237162,0.6596386,-0.2752779
0.3358902,0.03906731,0.8050099,0.6581238,-0.235311,0.6599195,-0.2756952
0.336118,0.03953226,0.8052359,0.6582038,-0.2349182,0.6599462,-0.2757755
0.3396539,0.04508433,0.8082243,0.6593715,-0.2303927,0.6599628,-0.2767629
0.3450388,0.05099725,0.8114787,0.6608,-0.2258029,0.6595788,-0.2780507
0.3462417,0.05216206,0.8120661,0.6611508,-0.2249452,0.6594178,-0.2782938
0.3494969,0.05505493,0.8133367,0.6622663,-0.222926,0.6587512,-0.2788447
0.3542656,0.05943836,0.8150236,0.6640954,-0.219944,0.657573,-0.2796418
0.3550422,0.06013526,0.8153109,0.6643992,-0.2194841,0.657367,-0.279766
0.3565481,0.06148244,0.8159569,0.6650047,-0.2186125,0.65695,-0.2799891
0.3596368,0.06504357,0.8178295,0.6666671,-0.2163369,0.6558709,-0.2803334
0.3610635,0.06727656,0.8191489,0.6678358,-0.2149676,0.6551147,-0.2803732
0.361269,0.06767941,0.8193577,0.6680309,-0.214709,0.6549941,-0.280388
0.3624552,0.07500402,0.8228261,0.6705973,-0.2095517,0.6540467,-0.2803752
0.3614464,0.07907692,0.8249082,0.6707069,-0.2061523,0.6550002,-0.2804069
0.3613687,0.07932966,0.8250291,0.6706778,-0.2059245,0.6550913,-0.2804315
0.361026,0.08043086,0.825548,0.6705519,-0.2049325,0.6554827,-0.2805445
0.3597352,0.08500046,0.8273152,0.6703071,-0.2008765,0.656706,-0.2812011
0.3582253,0.09188162,0.8287717,0.6707818,-0.1949822,0.6575154,-0.2823245
0.3576982,0.09502412,0.8290261,0.6712774,-0.1923841,0.6575576,-0.2828305
0.3564416,0.1043195,0.8281867,0.6737797,-0.1849401,0.6566552,-0.2839405
0.3563403,0.1050772,0.8280994,0.6739925,-0.1843342,0.6565699,-0.2840263
0.3558797,0.1086208,0.8276628,0.6750024,-0.1815045,0.6561588,-0.2843993
0.3550998,0.1150281,0.8267558,0.6768792,-0.1764301,0.655386,-0.2849144
0.3549959,0.1160777,0.8265705,0.6772088,-0.1756099,0.6552437,-0.2849651
0.3549079,0.1169636,0.8264177,0.677484,-0.1749161,0.6551282,-0.2850034
0.354791,0.1180872,0.826237,0.6778217,-0.1740322,0.6549902,-0.285058
0.3540599,0.1250855,0.8250445,0.6799036,-0.1685763,0.654232,-0.2851206
0.3540431,0.1253143,0.8249976,0.6799759,-0.1684015,0.6542072,-0.2851081
0.3539285,0.1271486,0.824607,0.6805667,-0.1670045,0.654,-0.284995
0.3538298,0.1298887,0.8239855,0.6814763,-0.1649466,0.6536731,-0.2847704
0.353937,0.1350421,0.822524,0.683412,-0.1611648,0.6528129,-0.2842697
0.3545637,0.1383607,0.8211372,0.6850243,-0.1589167,0.6519406,-0.2836556
0.3550138,0.1403907,0.8202248,0.6860572,-0.1575604,0.6513544,-0.2832629
0.3561581,0.1444701,0.8181701,0.68826,-0.1549568,0.6501904,-0.2820265
0.3563371,0.1450027,0.8178781,0.6885588,-0.1546319,0.6500496,-0.2818
0.3583021,0.1495337,0.8149922,0.6914046,-0.1520139,0.6485972,-0.2795942
0.3613032,0.1543509,0.8111271,0.6950311,-0.1495219,0.6465133,-0.276759
0.3619408,0.1550179,0.8104046,0.6956757,-0.1492527,0.6461189,-0.2762048
0.3633273,0.1565109,0.8088193,0.6970824,-0.1486356,0.6452725,-0.274967
0.3637914,0.1570163,0.8082864,0.6975552,-0.1484261,0.6449826,-0.2745606
0.3650303,0.1582445,0.806866,0.6987953,-0.1479535,0.6442054,-0.2734854
0.3666513,0.1597086,0.8049756,0.7004172,-0.147433,0.6431302,-0.2721448
0.3710427,0.1635845,0.7992915,0.7050051,-0.1461872,0.6402994,-0.2676076
0.3728788,0.1649426,0.7963332,0.7071514,-0.1459542,0.6390751,-0.2649851
0.3729605,0.1650189,0.7961838,0.7072604,-0.1459325,0.6390092,-0.2648652
0.3735803,0.1656651,0.7949695,0.7081442,-0.145726,0.6384773,-0.2638981
0.3750243,0.1671978,0.7916835,0.7104242,-0.1452837,0.6371912,-0.2611076
0.3755544,0.1679609,0.7901879,0.7114431,-0.1449978,0.636652,-0.2598044
0.3770895,0.1705462,0.7854477,0.7146433,-0.1439074,0.6349841,-0.255677
0.377229,0.1707947,0.7849876,0.7149568,-0.1437951,0.6347981,-0.2553251
0.377252,0.1708373,0.7849103,0.7150097,-0.1437753,0.6347666,-0.2552666
0.3773672,0.1710546,0.7845232,0.7152753,-0.1436734,0.634608,-0.2549744
0.3792938,0.1750025,0.7775774,0.720029,-0.1417277,0.6316729,-0.2499214
0.3799289,0.1763116,0.7749301,0.7217541,-0.1410801,0.6305692,-0.248092
0.3808973,0.1776514,0.7706399,0.7244609,-0.1406453,0.6287708,-0.244995
0.3810612,0.17786,0.7697045,0.7250293,-0.1406005,0.6283933,-0.2443065
0.3816803,0.1787202,0.7649221,0.7278358,-0.1404591,0.6264695,-0.2409616
0.3819013,0.1789636,0.7611073,0.7299498,-0.140613,0.6249903,-0.2383029
0.3816161,0.1792121,0.7558615,0.7326883,-0.1406792,0.6230206,-0.2349949
0.3815245,0.1792886,0.7549306,0.733158,-0.1406384,0.6226643,-0.2344979
0.3810212,0.1795335,0.751167,0.7350593,-0.1404897,0.6211849,-0.2325506
0.3801516,0.1797818,0.7449384,0.7381181,-0.1402996,0.6187335,-0.2294928
0.3793318,0.1792656,0.7354945,0.7425152,-0.1407156,0.6150224,-0.2249838
0.3793261,0.179247,0.7353305,0.7425938,-0.1407333,0.6149522,-0.2249052
0.3793089,0.1791904,0.7348403,0.7428283,-0.1407871,0.6147425,-0.2246707
0.3792573,0.178636,0.7303647,0.7450333,-0.1413474,0.6127238,-0.2225208
0.3793845,0.1778443,0.7249522,0.7477379,-0.1421635,0.6101481,-0.2199926
0.3800032,0.17625,0.714858,0.7523578,-0.1436086,0.6055729,-0.2159068
